AnimalID;Name;Day;Month;Year;Hour;Minute;Second;OutcomeType;OutcomeSubtype;AnimalType;SexuponOutcome;AgeuponOutcome;Breed;Color;Color2;
A702655;Mica;11;8;2015;0;0;0;Transfer;Partner;Cat;Neutered Male;4 months;Domestic Shorthair Mix;Black;White;
A713392;Basil;5;11;2015;0;0;0;Transfer;Partner;Dog;Intact Male;3 months;Chihuahua Shorthair Mix;Black;White;
A710071;Herb;1;9;2015;0;0;0;Transfer;Partner;Cat;Neutered Male;2 months;Domestic Shorthair Mix;White;Black;
A716575;Scarlet;22;12;2015;0;0;0;Transfer;Partner;Dog;Spayed Female;2 years;Australian Cattle Dog Mix;Tan;White;
A683666;;1;9;2015;0;0;0;Transfer;Partner;Cat;Neutered Male;1 year;Domestic Shorthair Mix;White;Cream Tabby;
A709067;Earlene;5;8;2015;0;0;0;Return_to_owner;;Dog;Intact Female;5 months;Boxer Mix;Black;White;
A720190;Little Missy;7;2;2016;0;0;0;Transfer;Partner;Dog;Spayed Female;7 years;Airedale Terrier Mix;Tricolor;;
A714820;Lizzie;5;11;2015;0;0;0;Transfer;Partner;Dog;Spayed Female;6 months;Plott Hound Mix;Brown Brindle;;
A716488;;23;11;2015;0;0;0;Transfer;Partner;Dog;Neutered Male;2 years;Pit Bull Mix;Red;;
A716400;Calliope;24;11;2015;0;0;0;Transfer;Partner;Dog;Intact Female;1 year;Yorkshire Terrier Mix;Black;Tan;
A684050;;28;7;2014;9;0;0;Transfer;SCRP;Cat;Intact Female;1 year;Domestic Shorthair Mix;Tortie;;
A705258;;16;6;2015;9;0;0;Transfer;SCRP;Cat;Unknown;2 months;Domestic Shorthair Mix;Brown Tabby;White;
A713690;;12;10;2015;9;0;0;Transfer;SCRP;Cat;Intact Male;2 years;Domestic Shorthair Mix;Blue Tabby;;
A690658;;24;10;2014;9;0;0;Transfer;SCRP;Cat;Intact Male;3 years;Domestic Shorthair Mix;Black;White;
A686520;;24;8;2014;9;0;0;Transfer;SCRP;Cat;Intact Male;3 months;Domestic Shorthair Mix;Brown Tabby;;
A681481;;18;6;2014;9;0;0;Transfer;SCRP;Cat;Intact Female;2 years;Domestic Shorthair Mix;Blue;White;
A714177;;20;10;2015;9;0;0;Transfer;SCRP;Cat;Unknown;3 months;Domestic Shorthair Mix;Tortie;;
A688067;;15;9;2014;9;0;0;Transfer;SCRP;Cat;Intact Female;5 months;Domestic Shorthair Mix;Torbie;;
A690519;;23;10;2014;9;0;0;Transfer;SCRP;Cat;Intact Male;4 months;Domestic Shorthair Mix;Blue Tabby;;
A698940;;21;3;2015;9;0;0;Transfer;SCRP;Cat;Intact Male;2 years;Domestic Shorthair Mix;Brown Tabby;White;
A684709;;28;7;2014;9;0;0;Transfer;SCRP;Cat;Intact Female;1 year;Domestic Shorthair Mix;Brown Tabby;White;
A713337;;6;10;2015;9;0;0;Transfer;SCRP;Cat;Intact Female;3 years;Domestic Shorthair Mix;Blue;;
A715761;;10;11;2015;9;0;0;Transfer;SCRP;Cat;Spayed Female;5 years;Domestic Shorthair Mix;Calico;;
A693594;;12;12;2014;9;0;0;Transfer;SCRP;Cat;Intact Male;6 months;Domestic Shorthair Mix;Black;White;
A681414;;18;6;2014;9;0;0;Transfer;SCRP;Cat;Intact Female;2 years;Domestic Shorthair Mix;Tortie;;
A695428;;16;1;2015;9;0;0;Transfer;SCRP;Cat;Intact Female;1 year;Domestic Shorthair Mix;Black;White;
A690333;;20;10;2014;9;0;0;Transfer;SCRP;Cat;Unknown;8 months;Domestic Shorthair Mix;Black;;
A709224;;7;8;2015;9;0;0;Transfer;SCRP;Cat;Intact Female;1 year;Domestic Shorthair Mix;Calico;;
A688584;Preston;25;11;2015;15;0;0;Return_to_owner;;Dog;Neutered Male;1 year;Great Pyrenees Mix;White;Cream;
A688544;Emma;24;9;2014;15;0;0;Transfer;Partner;Cat;Intact Female;1 month;Domestic Shorthair Mix;Brown Tabby;White;
A667520;;23;11;2013;16;0;0;Transfer;Partner;Dog;Neutered Male;4 years;Shih Tzu/Miniature Poodle;Apricot;White;
A676146;Desmo;14;4;2014;17;0;0;Return_to_owner;;Dog;Neutered Male;5 years;Dachshund Mix;Black;;
A677594;;26;4;2014;18;0;0;Transfer;Partner;Dog;Intact Female;3 months;Labrador Retriever Mix;Black;White;
A711562;Bino;8;9;2015;18;0;0;Euthanasia;Suffering;Dog;Intact Male;1 year;Dachshund/Chihuahua Shorthair;Black;;
A714972;Dennis;29;11;2015;19;0;0;Adoption;;Cat;Neutered Male;2 months;Domestic Shorthair Mix;Blue Tabby;;
A667942;Shadow;1;12;2013;19;0;0;Adoption;;Dog;Spayed Female;8 months;Labrador Retriever Mix;Black;;
A703630;Sheldon;30;6;2015;7;1;0;Adoption;Foster;Dog;Neutered Male;4 years;German Shepherd Mix;Brown;;
A686319;Jack;14;6;2015;12;1;0;Adoption;;Dog;Neutered Male;5 years;Plott Hound/Rhod Ridgeback;Brown Brindle;;
A715348;Cymbale;21;11;2015;13;1;0;Adoption;;Cat;Spayed Female;2 months;Domestic Shorthair Mix;Cream Tabby;White;
A699723;Delgado;11;4;2015;16;1;0;Transfer;Partner;Dog;Neutered Male;3 years;Chihuahua Shorthair Mix;Brown;;
A682532;;3;7;2014;17;1;0;Adoption;;Cat;Spayed Female;2 months;Domestic Shorthair Mix;Torbie;;
A663555;Amelia;16;10;2013;17;1;0;Adoption;;Cat;Spayed Female;3 months;Domestic Shorthair Mix;Calico;;
A686377;;25;8;2014;17;1;0;Adoption;;Dog;Neutered Male;2 months;Dachshund Wirehair Mix;Brown;Black;
A699816;Pebbles;11;4;2015;18;1;0;Adoption;;Dog;Spayed Female;10 years;Chihuahua Shorthair Mix;Tan;;
A715812;;15;11;2015;18;1;0;Adoption;;Dog;Spayed Female;10 months;Chihuahua Shorthair Mix;Tan;White;
A719517;;26;1;2016;19;1;0;Transfer;SCRP;Cat;Neutered Male;2 years;Domestic Shorthair Mix;Brown Tabby;;
A668362;Minnie;20;12;2013;12;2;0;Return_to_owner;;Dog;Spayed Female;2 years;Chihuahua Shorthair Mix;Black;Tan;
A712979;;4;10;2015;15;2;0;Transfer;Partner;Cat;Intact Male;1 weeks;Domestic Shorthair Mix;Black;;
A676209;Boomer;24;7;2014;15;2;0;Adoption;Foster;Dog;Neutered Male;3 months;Labrador Retriever Mix;Yellow;;
A703244;;26;5;2015;16;2;0;Transfer;Partner;Cat;Intact Male;2 months;Domestic Shorthair Mix;Brown Tabby;White;
A677157;Sadie;22;4;2014;16;2;0;Return_to_owner;;Dog;Intact Female;12 years;Labrador Retriever Mix;Yellow;;
A701489;;30;4;2015;17;2;0;Transfer;Partner;Cat;Unknown;3 weeks;Domestic Shorthair Mix;Brown Tabby;;
A715346;Molina;9;11;2015;17;2;0;Adoption;;Dog;Spayed Female;10 months;Anatol Shepherd/Great Pyrenees;White;;
A707781;Pearl;15;1;2016;14;3;0;Adoption;;Dog;Spayed Female;1 year;Chihuahua Shorthair/Jack Russell Terrier;Black;White;
A670658;Anders;19;1;2014;15;3;0;Transfer;Partner;Dog;Intact Male;2 months;Queensland Heeler Mix;Black;White;
A669534;;24;12;2013;15;3;0;Transfer;SCRP;Cat;Intact Female;1 year;Domestic Shorthair Mix;Orange Tabby;;
A674530;Jackson;11;9;2014;17;3;0;Adoption;;Dog;Neutered Male;5 years;Pit Bull;Black;;
A658728;Tori;9;11;2013;17;3;0;Adoption;;Cat;Spayed Female;4 months;Domestic Medium Hair Mix;Tortie;White;
A702756;;17;5;2015;19;3;0;Euthanasia;Suffering;Cat;Intact Male;3 weeks;Domestic Shorthair Mix;White;Brown Tabby;
A701029;Bode;1;5;2015;11;4;0;Return_to_owner;;Dog;Neutered Male;2 years;Chesa Bay Retr;Brown;;
A677334;Elsa;25;4;2014;13;4;0;Transfer;Partner;Dog;Intact Female;1 month;Cairn Terrier/Chihuahua Shorthair;Black;Tan;
A650694;Riku;18;12;2013;14;4;0;Return_to_owner;;Dog;Neutered Male;1 year;Blue Lacy/Pit Bull;Blue;White;
A668388;Lucy;9;12;2013;15;4;0;Transfer;Partner;Cat;Intact Female;2 months;Domestic Shorthair Mix;Brown Tabby;;
A707531;;14;7;2015;15;4;0;Transfer;Partner;Cat;Intact Male;2 weeks;Domestic Shorthair Mix;Black;;
A671889;Jezebel;27;2;2014;16;4;0;Return_to_owner;;Dog;Spayed Female;5 years;Chihuahua Shorthair Mix;Tan;;
A674448;Hedwig;18;3;2014;17;4;0;Adoption;;Dog;Neutered Male;10 months;Siberian Husky Mix;White;Cream;
A680336;Buddy;12;7;2014;20;4;0;Adoption;Foster;Cat;Neutered Male;2 months;Domestic Shorthair Mix;Orange Tabby;White;
A719113;Dexter;28;1;2016;12;5;0;Transfer;Partner;Dog;Neutered Male;5 years;Boxer Mix;Brown Brindle;White;
A597644;Lola;16;9;2014;14;5;0;Return_to_owner;;Dog;Spayed Female;4 years;Black Mouth Cur Mix;Tan;Black;
A677885;Lil' Mama;12;5;2014;14;5;0;Return_to_owner;;Dog;Intact Female;2 years;Pit Bull Mix;Fawn;;
A689596;;10;10;2014;14;5;0;Adoption;;Dog;Neutered Male;2 years;Jack Russell Terrier Mix;White;Tan;
A665661;Julia;7;9;2015;15;5;0;Return_to_owner;;Cat;Spayed Female;2 years;Domestic Shorthair Mix;White;Black;
A690902;Beth;18;11;2014;16;5;0;Adoption;;Cat;Spayed Female;2 months;Domestic Shorthair Mix;Orange Tabby;White;
A717167;Oscar;23;1;2016;16;5;0;Adoption;Foster;Cat;Neutered Male;4 years;Domestic Shorthair Mix;Black;White;
A717429;Cairo;9;12;2015;17;5;0;Return_to_owner;;Dog;Neutered Male;2 years;Pit Bull Mix;Brown Brindle;White;
A672263;Daisy;13;2;2014;17;5;0;Transfer;Partner;Dog;Spayed Female;2 years;Chihuahua Shorthair/Rat Terrier;White;Tan;
A689629;;11;10;2014;17;5;0;Adoption;;Cat;Intact Female;1 month;Domestic Shorthair Mix;Torbie;;
A706387;Sugar;6;7;2015;18;5;0;Adoption;;Cat;Spayed Female;1 month;Domestic Shorthair Mix;Blue Tabby;White;
A678958;Ares;19;5;2014;18;5;0;Adoption;;Dog;Neutered Male;2 months;Boxer Mix;Tricolor;;
A715261;Darcy;15;11;2015;14;6;0;Adoption;;Dog;Spayed Female;9 years;Beagle/Treeing Walker Coonhound;White;Brown;
A716839;Dino;27;11;2015;14;6;0;Return_to_owner;;Dog;Intact Male;2 years;Australian Shepherd Mix;Brown Merle;White;
A671251;Buffy;23;1;2014;14;6;0;Return_to_owner;;Dog;Spayed Female;2 years;Pit Bull Mix;Fawn;White;
A695654;Asha;27;1;2015;14;6;0;Euthanasia;Suffering;Dog;Intact Female;8 months;Labrador Retriever Mix;Black;;
A717706;Hilde;13;12;2015;14;6;0;Return_to_owner;;Dog;Spayed Female;1 year;Labrador Retriever Mix;Red;;
A660046;Grace;9;3;2014;17;6;0;Return_to_owner;;Dog;Spayed Female;2 years;American Staffordshire Terrier Mix;Blue;White;
A699990;Chubbs;8;4;2015;18;6;0;Return_to_owner;;Dog;Neutered Male;4 years;Cairn Terrier Mix;Tan;White;
A683309;;17;7;2014;18;6;0;Euthanasia;Behavior;Dog;Spayed Female;7 years;Pit Bull Mix;Tan;White;
A701627;Gabe;14;5;2015;12;7;0;Adoption;;Dog;Neutered Male;2 years;Blue Lacy Mix;Gray;White;
A713029;Wilma;6;10;2015;15;7;0;Transfer;Partner;Cat;Intact Female;1 month;Domestic Shorthair Mix;Black;;
A704179;Zeus;7;6;2015;16;7;0;Adoption;;Dog;Neutered Male;2 months;Chow Chow/Pit Bull;Black;;
A691636;Dali;13;11;2014;16;7;0;Adoption;;Dog;Neutered Male;5 months;Dachshund/Jack Russell Terrier;White;Brown;
A667537;;25;11;2013;17;7;0;Adoption;;Dog;Spayed Female;2 months;Australian Cattle Dog Mix;Red Merle;Black;
A678506;Prec Punkin';9;5;2014;18;7;0;Euthanasia;Suffering;Dog;Spayed Female;11 years;Yorkshire Terrier Mix;Brown;Black;
A711807;Lola;23;10;2015;18;7;0;Adoption;;Dog;Spayed Female;2 years;Chinese Sharpei/Australian Cattle Dog;Red Tick;White;
A705804;Chico;23;6;2015;11;8;0;Return_to_owner;;Dog;Neutered Male;3 years;Chihuahua Shorthair Mix;Brown;;
A716760;Dasher;6;12;2015;17;8;0;Adoption;;Dog;Neutered Male;6 months;Border Collie Mix;Black;White;
A716197;Ellie;3;1;2016;17;8;0;Return_to_owner;;Cat;Spayed Female;2 months;Domestic Shorthair Mix;Torbie;;
A679631;Callie;14;7;2014;18;8;0;Euthanasia;Suffering;Cat;Spayed Female;12 years;Domestic Longhair Mix;Tortie;;
A625690;Rainey;21;7;2014;11;9;0;Return_to_owner;;Dog;Spayed Female;7 years;Rat Terrier Mix;White;Black;
A701793;;16;7;2015;11;9;0;Adoption;Foster;Cat;Spayed Female;3 months;Siamese Mix;Lynx Point;White;
A611032;Trousers;5;8;2014;16;9;0;Return_to_owner;;Dog;Intact Male;6 years;Basset Hound;Tricolor;;
A675021;;21;3;2014;17;9;0;Euthanasia;Suffering;Cat;Intact Female;1 year;Domestic Shorthair Mix;Calico;;
A672744;Oso;17;4;2014;17;9;0;Euthanasia;Aggressive;Dog;Intact Male;3 years;Rottweiler Mix;Black;Tan;
A680506;Shaka;7;6;2014;17;9;0;Adoption;;Dog;Neutered Male;3 months;Chihuahua Shorthair Mix;Buff;White;
A688720;;26;9;2014;18;9;0;Adoption;;Dog;Spayed Female;1 year;Dachshund Mix;Tan;;
A671079;;25;1;2014;18;9;0;Adoption;;Dog;Spayed Female;2 years;Chihuahua Shorthair Mix;Tan;;
A683430;;11;7;2014;19;9;0;Transfer;Partner;Cat;Intact Male;3 weeks;Domestic Shorthair Mix;Blue Cream;;
A678825;Oliver;12;7;2014;12;10;0;Adoption;Foster;Cat;Neutered Male;3 months;Domestic Shorthair Mix;Orange Tabby;White;
A700740;Charlie;17;12;2015;12;10;0;Adoption;Foster;Dog;Neutered Male;1 year;Chihuahua Shorthair;White;;
A712376;;22;9;2015;12;10;0;Euthanasia;Suffering;Cat;Unknown;2 weeks;Domestic Shorthair Mix;Blue Tabby;;
A697921;Pi;16;3;2015;12;10;0;Adoption;;Dog;Spayed Female;1 year;Flat Coat Retriever Mix;Black;;
A668260;;2;12;2013;14;10;0;Transfer;Partner;Dog;Spayed Female;5 years;Great Dane;Black;White;
A685145;Mundy;13;9;2014;14;10;0;Adoption;Foster;Cat;Neutered Male;2 months;Domestic Medium Hair Mix;Blue;White;
A674659;;21;3;2014;17;10;0;Euthanasia;Aggressive;Dog;Intact Male;2 years;Labrador Retriever/Great Dane;Tan;Black;
A681679;Captain;5;12;2014;17;10;0;Transfer;Partner;Dog;Neutered Male;1 year;Pit Bull Mix;Brown;White;
A714481;Bobby;8;11;2015;19;10;0;Adoption;;Dog;Neutered Male;1 year;Boxer Mix;Brown;White;
A699218;Jimmy;28;3;2015;13;11;0;Transfer;Partner;Cat;Intact Male;3 weeks;Domestic Shorthair Mix;Blue Tabby;;
A687966;;17;9;2014;14;11;0;Adoption;;Cat;Neutered Male;4 months;Domestic Shorthair Mix;Brown Tabby;White;
A688443;Thelma;29;12;2014;15;11;0;Adoption;Foster;Cat;Spayed Female;4 months;Domestic Shorthair Mix;Black;;
A676494;Jimmy;27;4;2014;15;11;0;Adoption;;Dog;Neutered Male;1 year;Labrador Retriever/Border Collie;Black;White;
A716964;Rello;29;11;2015;18;11;0;Return_to_owner;;Dog;Intact Male;2 years;Chihuahua Shorthair Mix;Black;White;
A668396;;3;12;2013;18;11;0;Euthanasia;Medical;Cat;Neutered Male;8 years;Siamese Mix;Lynx Point;;
A714494;Amarillo;1;11;2015;19;11;0;Adoption;;Dog;Neutered Male;6 months;Labrador Retriever Mix;Yellow;;
A667129;Marcia;8;12;2013;19;11;0;Adoption;;Cat;Spayed Female;6 months;Domestic Shorthair Mix;Black;White;
A710881;Ruth;14;10;2015;10;12;0;Adoption;Foster;Cat;Spayed Female;2 months;Domestic Shorthair Mix;Orange Tabby;;
A711494;Celeste;24;12;2015;10;12;0;Adoption;Foster;Cat;Spayed Female;4 months;Domestic Shorthair Mix;Orange Tabby;White;
A669795;Roxi;11;8;2014;11;12;0;Return_to_owner;;Dog;Spayed Female;2 years;Rottweiler Mix;Black;Tan;
A717008;Taz;6;12;2015;15;12;0;Transfer;Partner;Dog;Neutered Male;7 months;Border Collie Mix;Black;White;
A677577;Roxie;1;5;2014;16;12;0;Adoption;;Dog;Spayed Female;10 months;Queensland Heeler/Shetland Sheepdog;Red Tick;Black;
A686406;;25;8;2014;17;12;0;Adoption;;Dog;Neutered Male;1 year;Border Terrier/Chihuahua Shorthair;Tan;Black;
A676056;Swisha;10;4;2014;10;13;0;Return_to_owner;;Dog;Neutered Male;2 years;American Pit Bull Terrier Mix;Tan;White;
A670949;Cassie;1;2;2014;11;13;0;Return_to_owner;;Dog;Spayed Female;8 months;Doberman Pinsch Mix;Tricolor;;
A697627;Lucy;1;3;2015;16;13;0;Adoption;;Dog;Spayed Female;2 years;Pointer/Labrador Retriever;Chocolate;White;
A717176;;3;12;2015;16;13;0;Transfer;Partner;Dog;Unknown;1 week;Labrador Retriever Mix;White;;
A651596;Brownie;6;3;2014;17;13;0;Return_to_owner;;Dog;Neutered Male;2 years;Labrador Retriever Mix;Buff;;
A713886;Arthur;19;10;2015;20;13;0;Adoption;;Cat;Neutered Male;2 months;Domestic Shorthair Mix;Orange Tabby;;
A694408;Emma;28;5;2015;13;14;0;Transfer;Partner;Dog;Spayed Female;1 year;Pit Bull Mix;Brown Tiger;White;
A697281;;3;3;2015;13;14;0;Adoption;;Dog;Neutered Male;3 months;Chihuahua Longhair/Italian Greyhound;Tricolor;;
A671682;;30;1;2014;13;14;0;Transfer;SCRP;Cat;Neutered Male;2 years;Domestic Shorthair Mix;Blue;;
A707573;Squirt;15;7;2015;13;14;0;Return_to_owner;;Dog;Neutered Male;12 years;Chihuahua Shorthair Mix;White;;
A666074;Jackson;30;10;2013;15;14;0;Transfer;Partner;Cat;Intact Male;4 weeks;Domestic Shorthair Mix;Brown Tabby;;
A705731;Sven;24;6;2015;15;14;0;Transfer;Partner;Dog;Intact Male;3 months;Pit Bull Mix;White;Brown;
A666971;;14;11;2013;17;14;0;Adoption;;Cat;Neutered Male;2 months;Domestic Shorthair Mix;Orange Tabby;White;
A711853;Nala;7;11;2015;19;14;0;Adoption;;Cat;Spayed Female;2 months;Domestic Shorthair Mix;Brown Tabby;;
A684475;Daisy;5;8;2014;11;15;0;Return_to_owner;;Cat;Spayed Female;9 years;Domestic Shorthair Mix;White;Black;
A394547;Snickerdoodl;25;1;2015;11;15;0;Return_to_owner;;Dog;Spayed Female;9 years;Labrador Retriever Mix;Chocolate;White;
A688223;;21;9;2014;14;15;0;Adoption;Offsite;Dog;Spayed Female;2 months;Labrador Retriever Mix;Black;White;
A701647;;25;5;2015;14;15;0;Transfer;Partner;Cat;Intact Female;3 months;Domestic Shorthair Mix;Black;;
A671181;;21;1;2014;15;15;0;Transfer;SCRP;Cat;Intact Male;4 years;Domestic Longhair Mix;Black;White;
A678050;;3;5;2014;16;15;0;Transfer;Partner;Cat;Intact Male;3 weeks;Domestic Shorthair Mix;Brown Tabby;;
A691531;;7;11;2014;17;15;0;Transfer;Partner;Dog;Intact Male;2 months;Australian Cattle Dog Mix;White;Brown;
A674913;;25;3;2014;18;15;0;Adoption;;Dog;Spayed Female;3 years;German Shepherd/Great Pyrenees;White;;
A678482;;14;5;2014;19;15;0;Adoption;;Dog;Neutered Male;2 years;Miniature Poodle/Miniature Schnauzer;Black;White;
A682131;;24;6;2014;19;15;0;Transfer;Partner;Cat;Intact Male;3 weeks;Domestic Shorthair Mix;Brown Tabby;;
A707503;;14;7;2015;12;16;0;Transfer;Partner;Cat;Intact Male;3 weeks;Domestic Shorthair Mix;Brown Tabby;;
A717147;Freeway;15;12;2015;14;16;0;Adoption;;Dog;Neutered Male;5 months;Plott Hound Mix;Brown Brindle;White;
A682347;;26;6;2014;17;16;0;Transfer;Partner;Cat;Intact Female;3 weeks;Domestic Shorthair Mix;Blue Tabby;White;
A702207;;10;5;2015;17;16;0;Euthanasia;Suffering;Cat;Neutered Male;12 years;Domestic Longhair Mix;Orange Tabby;White;
A672410;Myles;11;2;2014;18;16;0;Return_to_owner;;Dog;Neutered Male;5 years;Beagle Mix;Tricolor;;
A720860;;20;2;2016;21;16;0;Adoption;;Dog;Spayed Female;8 months;Chihuahua Shorthair Mix;Chocolate;White;
A715378;Sadie;21;11;2015;11;17;0;Adoption;;Dog;Spayed Female;6 months;Pointer Mix;White;Blue;
A706506;;30;6;2015;12;17;0;Transfer;Partner;Cat;Unknown;5 days;Domestic Shorthair Mix;Black;;
A695710;Layla;2;8;2015;13;17;0;Transfer;Partner;Dog;Spayed Female;11 months;Boxer Mix;Brown Brindle;White;
A685452;;11;8;2014;15;17;0;Transfer;Partner;Dog;Intact Female;4 months;Dachshund/Chihuahua Shorthair;Red;;
A677462;;25;4;2014;15;17;0;Transfer;Partner;Cat;Unknown;0 years;Domestic Shorthair Mix;Blue;;
